tag,config_id,variant,label,seed,run,offered,refused,received,pdr,goodput_kbps,delay_ms,jitter_ms,hops,control_packets,control_bytes,nrl
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r11,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,11,7182,0,6352,0.884433305485937,144.99521705697003,15.552339420654913,13.159817092399877,2.0121221662468516,51423,2469914,8.095560453400504
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r12,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,12,7184,0,6053,0.8425668151447662,138.11995257017526,23.921756153973238,17.671903028297205,2.576077977862217,61302,2977156,10.127540062778788
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r13,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,13,7191,0,6140,0.8538450841329439,139.9891630973114,17.16899022801303,19.58384991843393,2.928013029315961,67074,3234368,10.924104234527688
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r14,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,14,7183,0,6290,0.8756786857858834,143.63105942896502,23.071589825119236,17.41799363057325,2.9324324324324325,49451,2394940,7.861844197138315
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r15,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,15,7182,0,6717,0.9352548036758563,153.36310836439097,8.935288075033498,10.293093782615179,2.187732618728599,48561,2320312,7.229566770879857
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r16,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,16,7185,0,6162,0.8576200417536535,140.62042301083866,9.418972736124635,8.596617360208063,1.70042194092827,38618,1845930,6.267121064589419
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r17,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,17,7186,0,5740,0.7987753966045088,130.95565012016957,17.35125087108014,16.713010471204193,2.637456445993031,63578,3076476,11.07630662020906
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r18,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,18,7183,0,6174,0.8595294445217876,140.9379801898345,13.005847100745061,15.935116807268008,2.0983155166828635,59412,2860406,9.62293488824101
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r19,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,19,7186,0,6048,0.8416365154467019,137.97237157371006,20.63780257936508,21.215624378933427,2.8230820105820107,64898,3131248,10.730489417989418
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r20,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,20,7182,0,6576,0.9156223893065998,150.1234809600461,8.916118917274941,9.558023301858057,2.7612530413625302,37359,1784852,5.681113138686132
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r21,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,21,7194,0,6095,0.8472338059494022,138.93428590420214,14.83143396226415,15.356228430566967,2.5991796554552913,55380,2675110,9.086136177194422
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r22,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,22,7190,0,6619,0.9205841446453408,150.9548454611823,8.133514126000906,8.754886518384021,2.3675781840157124,40741,1953668,6.155159389635896
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r23,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,23,7188,0,6035,0.8395937673900946,137.6711240079471,27.18419055509528,22.53470871369295,3.042916321458161,63286,3036880,10.48649544324772
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r24,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,24,7184,0,6360,0.8853006681514477,145.1756662470244,19.31531761006289,23.84666141732284,2.3141509433962266,75791,3651966,11.91682389937107
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r25,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,25,7186,0,5932,0.8254940161424993,135.36682411364706,27.683009103169255,19.8130884836204,3.193020903573837,56946,2752536,9.599797707349966
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r26,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,26,7182,0,6016,0.8376496797549429,137.33585163315607,9.546068816489363,10.051615051615054,2.6000664893617023,43575,2096176,7.243184840425532
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r27,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,27,7188,0,6411,0.8919031719532554,146.2397571007391,7.416793012010608,5.916037494141541,2.795663703010451,29000,1389304,4.523475276867884
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r28,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,28,7188,0,6643,0.9241791875347802,151.510869677934,10.945429775703749,11.59309513040856,2.681017612524462,42072,2018082,6.333283155200964
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r29,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,29,7185,0,6676,0.9291579679888657,152.34447647539974,11.52414769322948,12.543141314131416,2.519472738166567,46501,2223670,6.9653984421809465
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r30,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,30,7190,0,6611,0.919471488178025,150.7289234029481,8.373902586598094,8.51852295106802,2.131598850400847,42367,2030250,6.408561488428377
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r11,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,11,7182,0,6530,0.9092174881648566,149.0616186838109,25.25071209800919,18.60555981595092,2.027105666156202,18851,951408,2.8868300153139357
